step,loss,step_time_s,rank
0,,2.037014,0
1,,2.002189,0
2,,2.158092,0
0,3.458571,2.073664,1
1,3.432866,1.992421,1
2,3.422365,1.985849,1
0,,2.036701,2
1,,2.002438,2
2,,2.158111,2
0,3.44364,2.073321,3
1,3.471892,1.99588,3
2,3.433192,1.983661,3
