step,loss,step_time_s,rank
0,,4.517939,0
1,,4.557696,0
2,,4.485946,0
0,3.458255,4.49293,1
1,3.4339,4.509166,1
2,3.422238,4.461769,1
0,,4.536436,2
1,,4.548687,2
2,,4.48125,2
0,3.443588,4.493162,3
1,3.470116,4.509425,3
2,3.432544,4.461734,3
