step,rank,local_batch_size,global_batch_size,images_per_sec,step_time_s,loss
0,0,8,16,5.65,2.574589,
1,0,8,16,5.65,2.576004,
2,0,8,16,5.65,2.916731,
3,0,8,16,5.65,2.701155,
4,0,8,16,5.65,2.770275,
5,0,8,16,5.65,2.616322,
6,0,8,16,5.65,2.621273,
7,0,8,16,5.65,2.708868,
0,1,8,16,5.65,2.501398,3.466697
1,1,8,16,5.65,2.578456,3.437418
2,1,8,16,5.65,2.752001,3.424871
3,1,8,16,5.65,2.853216,3.432334
4,1,8,16,5.65,2.710556,3.433308
5,1,8,16,5.65,2.73118,3.434965
6,1,8,16,5.65,2.539974,3.432777
7,1,8,16,5.65,2.620701,3.437414
0,2,8,16,5.65,2.57495,
1,2,8,16,5.65,2.575966,
2,2,8,16,5.65,2.917036,
3,2,8,16,5.65,2.700301,
4,2,8,16,5.65,2.770215,
5,2,8,16,5.65,2.616316,
6,2,8,16,5.65,2.621281,
7,2,8,16,5.65,2.708802,
0,3,8,16,5.65,2.501917,3.450632
1,3,8,16,5.65,2.577577,3.476955
2,3,8,16,5.65,2.751974,3.433079
3,3,8,16,5.65,2.850614,3.436355
4,3,8,16,5.65,2.714332,3.434418
5,3,8,16,5.65,2.731167,3.434598
6,3,8,16,5.65,2.538962,3.431844
7,3,8,16,5.65,2.621296,3.431031
