step,rank,local_batch_size,global_batch_size,images_per_sec,step_time_s,loss
0,0,4,8,5.76,1.332611,
1,0,4,8,5.76,1.315449,
2,0,4,8,5.76,1.340487,
3,0,4,8,5.76,1.315765,
4,0,4,8,5.76,1.30443,
5,0,4,8,5.76,1.341664,
6,0,4,8,5.76,1.322344,
7,0,4,8,5.76,1.331367,
0,1,4,8,5.76,1.298018,2.785184
1,1,4,8,5.76,1.313374,2.729299
2,1,4,8,5.76,1.330678,2.703825
3,1,4,8,5.76,1.357912,2.701063
4,1,4,8,5.76,1.289172,2.70736
5,1,4,8,5.76,1.318492,2.712815
6,1,4,8,5.76,1.347629,2.704797
7,1,4,8,5.76,1.301021,2.716697
0,2,4,8,5.76,1.333607,
1,2,4,8,5.76,1.315293,
2,2,4,8,5.76,1.340482,
3,2,4,8,5.76,1.316007,
4,2,4,8,5.76,1.305502,
5,2,4,8,5.76,1.341488,
6,2,4,8,5.76,1.322025,
7,2,4,8,5.76,1.32973,
0,3,4,8,5.76,1.299287,2.7166
1,3,4,8,5.76,1.312788,2.710659
2,3,4,8,5.76,1.329369,2.701217
3,3,4,8,5.76,1.359595,2.719158
4,3,4,8,5.76,1.286035,2.707255
5,3,4,8,5.76,1.321785,2.70348
6,3,4,8,5.76,1.347634,2.714444
7,3,4,8,5.76,1.293759,2.707852
