step,rank,local_batch_size,global_batch_size,images_per_sec,step_time_s,loss
0,0,16,32,5.46,5.245085,
1,0,16,32,5.46,5.265519,
2,0,16,32,5.46,5.389785,
3,0,16,32,5.46,5.380739,
4,0,16,32,5.46,6.009772,
5,0,16,32,5.46,5.861143,
6,0,16,32,5.46,5.349838,
7,0,16,32,5.46,6.098502,
0,1,16,32,5.46,5.015667,4.133499
1,1,16,32,5.46,5.357861,4.131469
2,1,16,32,5.46,5.4597,4.144288
3,1,16,32,5.46,5.363929,4.142193
4,1,16,32,5.46,5.651636,4.144064
5,1,16,32,5.46,6.007884,4.141701
6,1,16,32,5.46,5.374753,4.140629
7,1,16,32,5.46,5.585073,4.141911
0,2,16,32,5.46,5.244006,
1,2,16,32,5.46,5.265872,
2,2,16,32,5.46,5.389911,
3,2,16,32,5.46,5.380966,
4,2,16,32,5.46,6.010276,
5,2,16,32,5.46,5.859839,
6,2,16,32,5.46,5.34981,
7,2,16,32,5.46,6.098512,
0,3,16,32,5.46,5.015062,4.146374
1,3,16,32,5.46,5.360954,4.145674
2,3,16,32,5.46,5.458343,4.14215
3,3,16,32,5.46,5.363962,4.142331
4,3,16,32,5.46,5.651847,4.148775
5,3,16,32,5.46,6.008361,4.145709
6,3,16,32,5.46,5.375407,4.142705
7,3,16,32,5.46,5.580985,4.146699
