step,loss,step_time_s,rank
0,,4.710363,0
1,,4.59732,0
2,,4.828017,0
0,3.458255,5.086956,1
1,3.4339,4.527707,1
2,3.422238,4.649603,1
0,,4.712881,2
1,,4.597321,2
2,,4.828034,2
0,3.443588,5.086796,3
1,3.470116,4.528781,3
2,3.432544,4.648815,3
