mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0018059253692626954,0.0005858275781034765,0.016516685485839844,0.0034777679785140893,0.1,scale,linear,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0022408008575439454,0.0007911106638637882,0.018322849273681642,0.0036395097457951053,0.1,scale,rbf,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0012827873229980468,0.0002813309168250866,0.008200407028198242,0.00978457665623189,0.1,0.1,linear,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0017494678497314454,0.0005726695635199664,0.0006477832794189453,6.802245434611848e-06,0.1,0.1,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0015533924102783202,0.0005544140874528249,0.0007511615753173828,0.0004887409811980715,0.1,0.01,linear,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.001987791061401367,0.0004829282018895132,0.0008903026580810546,9.059798089438747e-05,0.1,0.01,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.7076923076923077,0.8153846153846154,0.7692307692307693,0.7230769230769231,0.71875,0.7468269230769231,0.04021438480894778,31
0.0011056900024414063,0.00015769853358571119,0.0004194736480712891,3.091052513304379e-05,0.1,0.001,linear,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0014974594116210938,0.00017947471597699497,0.0008371829986572266,7.365931872694118e-05,0.1,0.001,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.6461538461538462,0.6461538461538462,0.6461538461538462,0.6461538461538462,0.640625,0.645048076923077,0.0022115384615384757,32
0.0010937213897705077,0.00010609820717742623,0.0003957271575927734,2.3374944642439355e-05,1.0,scale,linear,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9384615384615385,0.96875,0.9414423076923077,0.02450772731660061,26
0.0011080265045166015,9.170368287530075e-05,0.00044741630554199217,1.9063112298727616e-05,1.0,scale,rbf,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.000973367691040039,6.784231565066941e-05,0.00040135383605957033,5.97270852393157e-05,1.0,0.1,linear,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9384615384615385,0.96875,0.9414423076923077,0.02450772731660061,26
0.0009418010711669921,4.936506050717857e-05,0.000437164306640625,8.494663597733823e-06,1.0,0.1,rbf,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0010434627532958985,0.00010851032767965299,0.0003883838653564453,2.6398438928579887e-05,1.0,0.01,linear,"{'svc__C': 1, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9384615384615385,0.96875,0.9414423076923077,0.02450772731660061,26
0.0010474681854248046,5.6906993878505856e-05,0.0005373954772949219,1.3028217403711557e-05,1.0,0.01,rbf,"{'svc__C': 1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0010606765747070313,0.000141739185562716,0.0003849029541015625,2.2558782445646848e-05,1.0,0.001,linear,"{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9384615384615385,0.96875,0.9414423076923077,0.02450772731660061,26
0.0013530731201171875,7.919336444800824e-05,0.000762939453125,1.9476915569706833e-05,1.0,0.001,rbf,"{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.7692307692307693,0.8153846153846154,0.8,0.7692307692307693,0.796875,0.7901442307692308,0.018189349653805705,30
0.001370382308959961,0.0001560439965092322,0.00038847923278808596,1.9951290651269873e-05,10.0,scale,linear,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0013058185577392578,8.303349330839301e-05,0.00043168067932128904,1.218279279895723e-05,10.0,scale,rbf,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9692307692307692,0.9230769230769231,0.9230769230769231,0.9538461538461539,0.96875,0.9475961538461538,0.020770121063539374,1
0.0013207435607910157,0.0001982315128245049,0.00037555694580078126,2.607187560733903e-05,10.0,0.1,linear,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0011772632598876954,0.00020930394314806788,0.00043668746948242185,2.1601091680690192e-05,10.0,0.1,rbf,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.001378345489501953,9.452079235157939e-05,0.00040416717529296876,4.8974077942927634e-05,10.0,0.01,linear,"{'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0010746955871582032,0.00012277057704333062,0.0005419254302978516,9.936959175243727e-05,10.0,0.01,rbf,"{'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0014406204223632812,0.0003125901108025765,0.0004040241241455078,5.191322440360432e-05,10.0,0.001,linear,"{'svc__C': 10, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0017407894134521484,0.0004453988747166705,0.0009189605712890625,0.00041612307593690386,10.0,0.001,rbf,"{'svc__C': 10, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.004276084899902344,0.0014004075387107839,0.0006375789642333984,0.00022730974873503478,100.0,scale,linear,"{'svc__C': 100, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0038036346435546876,0.0006648640305963405,0.0007956027984619141,0.00028455838224271054,100.0,scale,rbf,"{'svc__C': 100, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9692307692307692,0.9230769230769231,0.9230769230769231,0.9538461538461539,0.96875,0.9475961538461538,0.020770121063539374,1
0.00382232666015625,0.0005122091888739351,0.000572824478149414,0.00023381546560030753,100.0,0.1,linear,"{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0032641410827636717,0.0008690645647429571,0.0006339073181152344,0.00014098320988353686,100.0,0.1,rbf,"{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.004228734970092773,0.0008270236591307091,0.0005743980407714843,0.0001718344345908315,100.0,0.01,linear,"{'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
0.0013226509094238282,0.0003804495581272487,0.000567770004272461,0.00010363028578309087,100.0,0.01,rbf,"{'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9692307692307692,0.9076923076923077,0.9230769230769231,0.9538461538461539,0.96875,0.9445192307692307,0.02490291801062251,3
